T1 Rest,T1 Meditation ,T2 Rest ,T2 Meditation
7.917281312,7.699344095,8.099645381,7.998704951
5.183467525,4.543294782,4.744932128,4.241326753
6.160996329,6.477433795,4.95088529,5.755742214
6.49677499,6.562444094,5.312220272,6.196647773
5.454038242,5.046645732,5.490589254,5.48022217
7.119069135,6.441424895,7.247863754,7.343749592
6.502190166,6.256133845,4.744932128,4.241326753
6.49677499,6.905753276,6.018836494,6.372807713
6.486160789,6.950144045,6.90213954,6.849490371
3.543853682,4.743191484,4.364371699,4.82350218
4.279440046,4.763028271,6.189700463,6.25785914
5.140493281,5.68968355,5.29681624,5.545177444
5.700443573,6.604891885,7.169426996,7.405252473
6.485398303,7.460029901,7.243584452,6.232840867
6.129485845,5.153291594,7.966898824,5.654942309
4.635699391,4.992471323,5.346631227,6.003640123
6.078559254,6.510555915,6.866412315,6.863803391
4.848116365,5.420534999,4.848116365,5.921310287
6.012247086,6.471727865,4.997212274,4.669083512
7.71186227,7.656384469,7.58131181,7.63896866
6.729585093,6.83389343,6.95702152,6.644180282
4.804840381,5.015954456,5.849036554,6.395595432
6.561030666,5.783209608,6.864221277,7.000516759
7.402817308,7.335112334,5.516649361,5.16706908
5.965633787,5.956873102,7.540993207,7.246724396
7.269547109,6.327043528,7.029087564,6.736611023
5.59471138,5.529429088,4.699570861,5.492649836
3.577947893,4.6558633,4.028916757,4.718498871
6.543480098,6.817173901,6.824156255,6.684236657
5.592850914,6.295634937,5.555282466,5.84209409
5.789960171,6.436631022,6.866308089,6.845773487
6.004627534,6.54333614,6.775594375,7.264520219
5.123963979,6.184973293,4.859812404,6.214808078
5.523059639,5.22359382,4.395682961,4.817050545
6.646520377,6.789759721,7.184477511,7.369915731
4.903050083,5.926659324,6.421622268,6.546785411
5.933570569,6.009058856,5.142248181,8.483201981
8.474682271,8.177628177,7.687126026,8.096177802
5.897977704,7.237418674,6.948225212,7.233022112
3.867025639,4.147885329,2.895911938,3.725693427
