T1 Rest: 1st 5-min,T1 Rest: 2nd 5-min,T1 Rest: 3rd 5-min,T1 Meditation: 1st 5-min,T1 Meditation: 2nd 5-min,T1 Meditation: 3rd 5-min,T2 Rest: 1st 5-min,T2 Rest: 2nd 5-min,T2 Rest: 3rd 5-min,T2 Meditation: 1st 5-min,T2 Meditation: 2nd 5-min,T2 Meditation: 3rd 5-min
7.813268138,8.05054393,8.237558651,7.757350498,8.746795838,8.185489567,7.604545814,8.363948767,8.244964432,7.733026612,8.324190797,7.856900348
5.307277108,4.989071116,6.576469569,4.543294782,4.776599302,4.355425953,4.532599493,4.634728988,5.177843213,4.209160237,3.822098298,4.096009842
6.500238067,5.745883651,6.134265346,6.756234471,5.789654314,4.355425953,4.976043849,4.662495253,5.634075062,5.346154696,6.307734076,6.227721738
6.324358962,6.519147288,6.576469569,6.584791392,6.678342115,6.476972363,6.575075841,6.693323668,6.693323668,6.057252288,6.611637728,5.885270351
5.559527119,5.374815338,5.807241183,5.586874056,4.476199805,5.565286397,5.07454862,5.667464212,5.426710581,5.442417711,5.618950539,5.144583267
6.88530515,7.586752824,7.333088372,6.595507253,6.171282974,6.635946556,7.381564159,7.302765929,7.430825629,7.369222577,7.509061256,7.452982329
6.64561099,6.40440167,6.342473469,6.181671598,6.337533445,6.406714956,4.532599493,4.634728988,5.177843213,4.209160237,3.822098298,4.096009842
5.864483085,6.240665633,6.484940533,7.568947288,6.455512979,5.698434868,5.946728653,5.977872594,5.937800023,6.010286301,6.246300545,6.528250273
5.960231845,6.650537747,6.917408536,6.928243945,6.940416061,7.217149918,6.653507983,6.748642307,6.675066315,7.048473286,6.855198028,6.97634807
3.025291076,3.742420221,6.376556865,4.743191484,4.001863709,4.628886713,4.228292535,4.434381865,4.827513417,4.86753445,5.068275074,4.535820108
4.642465971,3.676300672,4.165113633,5.109575242,4.50313746,4.712229258,6.238910391,6.241055268,6.250361268,6.679975999,5.98670323,5.855071922
4.030694535,5.029129877,5.249652195,4.885072071,6.277395087,5.60322522,4.88204406,5.736249665,5.253320001,4.593097605,5.110178924,5.297316866
6.071430329,5.251225759,5.702448252,6.604891885,6.742762704,6.164366882,7.119311961,7.484930283,7.385044802,7.333611077,7.505987202,7.353017857
6.302618976,6.624198021,7.029264696,8.224029455,6.716473701,5.931449115,7.361121267,7.175566222,7.374252769,6.500238067,5.783517443,6.076494796
5.663654684,6.229890722,6.189085141,4.721173862,5.695750303,4.956531035,7.740446987,8.025516386,8.362665774,5.764563947,5.423186349,5.17840707
4.808927024,4.751000634,4.620058798,4.970507503,5.025195445,5.164785974,5.015291106,5.422744945,5.407620101,5.503296947,6.216805682,6.042157661
6.156555167,6.204355722,4.620058798,6.040968742,7.125685263,6.539585956,6.98905873,6.782985392,6.715383386,7.105211723,6.937993462,6.565687416
4.824305716,4.731802837,5.194067345,5.176714545,5.50411128,5.614222398,4.728272383,5.091908014,5.373424839,6.210399254,5.830121397,5.292802186
5.443283137,6.285998095,6.314634412,6.155282632,6.259007686,6.237933924,4.514150788,5.27504874,4.826712456,4.839451482,4.791649753,4.659658371
7.363596594,7.872112103,7.890694804,7.740403498,7.450137708,7.523103067,7.899561563,7.36707706,7.349166514,7.251557727,7.964155719,7.651928218
6.334522195,7.108325969,6.50623239,6.061689992,6.734115923,6.476972363,5.944896911,6.952824242,7.05815608,6.493451222,6.588513738,6.709670127
4.289088639,4.786658062,4.705920089,4.204692619,5.018603464,4.557029811,5.646506407,5.842384324,6.693819208,5.609105428,6.731853074,5.700777966
6.214808078,6.881616621,6.17336935,6.081762185,5.620038481,6.035720638,6.99090086,6.854249011,6.847899112,6.854881789,5.81383198,7.272120576
7.222200989,7.28954226,7.728459793,7.313620307,7.160224596,6.815310989,5.570631962,4.948050419,6.049969276,5.16706908,5.818598149,6.632001777
5.338499156,5.837147187,6.194813471,5.904544075,5.9821715,5.811140993,7.043858362,7.793875422,7.439911773,7.065186287,7.539186618,7.083220048
6.324358962,6.519147288,6.576469569,6.730421264,5.513025439,6.862130101,7.228170721,7.18690102,6.65221766,7.057295346,5.684939387,6.430042007
5.254887809,5.360822572,5.711419902,5.370172804,5.276071758,5.794841206,4.781641329,4.768139014,4.528289142,5.363636833,5.487283466,5.001258132
3.430756184,3.78191432,3.96081317,4.409155302,4.099332104,4.485259889,3.246490992,3.903990834,5.107156861,5.067645549,4.364371699,4.284964922
6.729346059,6.31336687,6.889896761,6.903747258,6.804060043,6.583824074,6.559048505,6.567937452,7.211335307,6.545924208,5.80934297,6.869118395
5.24491659,5.732369932,5.74748033,5.684259808,6.184973293,5.932775551,5.607638614,5.694068782,5.00327494,5.292299294,5.791488055,6.260919001
4.900820428,5.966915674,6.070506754,6.288416026,6.742172838,5.695078034,6.568358771,6.90424914,7.322047976,6.895581478,6.657754273,6.985179176
6.100094712,6.182084907,6.009550015,5.704448919,6.882232322,6.863385331,6.678090511,6.759835149,6.724553335,6.381646798,7.363850128,7.611891854
4.883559212,5.161351511,5.538121359,6.020537795,6.139453425,5.811140993,4.079230924,5.066385309,5.051777237,5.438948496,6.365094932,6.067962518
5.484796933,5.3499606,5.317629678,5.726196069,4.572646994,5.001930853,4.048300624,4.906015245,6.693323668,4.49088104,4.836281907,5.123368564
6.229693736,6.7310181,6.893453494,6.611637728,6.810913928,7.46238724,7.140294552,7.130258625,7.206228913,7.987490512,6.806608097,6.628305891
5.090678002,4.355425953,5.576327819,5.862778539,5.961778237,5.856789644,6.838512376,5.941748955,5.012633297,6.247075289,5.802118375,6.743823587
6.349138991,5.594339563,5.56221891,5.548297572,6.390240667,6.045242253,5.280153396,5.157329673,5.297817242,9.552929576,4.967031657,5.675040006
8.428842736,8.428755343,8.134848729,8.024927593,8.210939733,7.921463061,7.793463084,7.762340805,7.902487437,7.420279459,8.297094998,7.960916821
5.890815139,5.433722004,6.504886797,6.671779749,7.641132279,7.255026143,7.22657258,6.744176965,6.939641468,6.782418788,7.505492275,7.721570219
4.094344562,3.688879454,4.001863709,4.000033883,4.53044664,3.618993327,2.442347035,2.517696473,2.388762789,3.974058396,3.974058396,3.091042453
